Promotion Seen,Timestamp
FollowingFeedDoradoCooldown,1677022806
FollowingFeedDoradoCooldown,1677027753
FollowingFeedDoradoCooldown,1677027754
FollowingFeedDoradoCooldown,1677065928
FollowingFeedDoradoCooldown,1677065929
FollowingFeedDoradoCooldown,1677084363
FollowingFeedDoradoCooldown,1677084365
FollowingFeedDoradoCooldown,1677094865
FollowingFeedDoradoCooldown,1677112635
FollowingFeedDoradoCooldown,1677114609
FollowingFeedDoradoCooldown,1677114610
FollowingFeedDoradoCooldown,1677124298
FollowingFeedDoradoCooldown,1677124299
FollowingFeedDoradoCooldown,1677252186
FollowingFeedDoradoCooldown,1677252187
FollowingFeedDoradoCooldown,1677252215
FollowingFeedDoradoCooldown,1677252216
FollowingFeedDoradoCooldown,1677252902
FollowingFeedDoradoCooldown,1677252903
CommentNotificationCoachmark,1660393538
FollowModeCoachmark,1661948473
PostSubscriptionPreviewModalImpression,1692323175
SubPreviewGroupTab,1687862754
SubPreviewYouTab,1687530844
SubPreviewActivitiesFeedBanner,1687530845
SubPreviewActivitiesFeedBanner,1687784923
SubPreviewActivitiesFeedBanner,1688322524
SubPreviewWelcomeModalImpression,1687862755
SubPreviewWelcomeModalImpression,1687863240
SubPreviewConversionModalImpression,1690107307
SubPreviewConversionModalImpression,1690123973
SubPreviewConversionModalImpression,1690137835
SubPreviewConversionModalImpression,1690250592
NycmActivitySuggestion,1667863314
NycmActivitySuggestion,1667868745
NycmActivitySuggestion,1667883136
NycmActivitySuggestion,1667936870
NycmActivitySuggestion,1667951467
Yis2022Experience,1671560154
NewDecember2022Sports,1670169911
NewDecember2022Sports,1670246875
NewDecember2022Sports,1670331375
TnfActivitySuggestion,1677505736
TnfActivitySuggestion,1677505746
TnfActivitySuggestion,1677545194
TnfActivitySuggestion,1677595538
FollowingFeedDoradoCooldownSix,1682277041
FollowingFeedDoradoCooldownSix,1682277042
FollowingFeedDoradoCooldownSix,1682290263
FollowingFeedDoradoCooldownSix,1682290264
FollowingFeedDoradoCooldownSix,1682371681
FollowingFeedDoradoCooldownSix,1682371682
FollowingFeedDoradoCooldownSix,1682390578
FollowingFeedDoradoCooldownSix,1682390579
FollowingFeedDoradoCooldownSix,1682421050
FollowingFeedDoradoCooldownSix,1682421051
FollowingFeedDoradoCooldownSix,1682506884
FollowingFeedDoradoCooldownSix,1682558347
FollowingFeedDoradoCooldownSix,1682558348
FollowingFeedDoradoCooldownSix,1682594799
FollowingFeedDoradoCooldownSix,1682594800
FollowingFeedDoradoCooldownSix,1682616664
FollowingFeedDoradoCooldownSix,1682616665
FollowingFeedDoradoCooldownSix,1682675671
FollowingFeedDoradoCooldownSix,1682675672
FollowingFeedDoradoCooldownSix,1682699100
FollowingFeedDoradoCooldownSix,1682699101
FollowingFeedDoradoCooldownSix,1682776509
FollowingFeedDoradoCooldownSix,1682776510
FollowingFeedDoradoCooldownSix,1682785885
FollowingFeedDoradoCooldownSix,1682785886
FollowingFeedDoradoCooldownSix,1682940318
FollowingFeedDoradoCooldownSix,1682940319
FollowingFeedDoradoCooldownSix,1683115197
FollowingFeedDoradoCooldownSix,1683170068
FollowingFeedDoradoCooldownSix,1683197145
FollowingFeedDoradoCooldownSix,1683260376
FollowingFeedDoradoCooldownSix,1683260377
FollowingFeedDoradoCooldownSix,1683262440
FollowingFeedDoradoCooldownSix,1683262441
FollowingFeedDoradoCooldownSix,1683374972
FollowingFeedDoradoCooldownSix,1683374973
FollowingFeedDoradoCooldownSix,1683585841
FollowingFeedDoradoCooldownSix,1683600928
FollowingFeedDoradoCooldownSix,1683600929
FollowingFeedDoradoCooldownSix,1683657884
FollowingFeedDoradoCooldownSix,1683657886
FollowingFeedDoradoCooldownSix,1683838310
FollowingFeedDoradoCooldownSix,1683849004
FollowingFeedDoradoCooldownSix,1683849005
FollowingFeedDoradoCooldownSix,1683912553
FollowingFeedDoradoCooldownSix,1683912554
FollowingFeedDoradoCooldownSix,1683920561
FollowingFeedDoradoCooldownSix,1683931077
FollowingFeedDoradoCooldownSix,1683985169
FollowingFeedDoradoCooldownSix,1683985170
FollowingFeedDoradoCooldownSix,1684078027
FollowingFeedDoradoCooldownSix,1684078028
FollowingFeedDoradoCooldownSix,1684092936
FollowingFeedDoradoCooldownSix,1684092937
FollowingFeedDoradoCooldownSix,1684191825
FollowingFeedDoradoCooldownSix,1684191826
FollowingFeedDoradoCooldownSix,1684209322
FollowingFeedDoradoCooldownSix,1684209323
FollowingFeedDoradoCooldownSix,1684337854
FollowingFeedDoradoCooldownSix,1684337856
FollowingFeedDoradoCooldownSix,1684348314
FollowingFeedDoradoCooldownSix,1684348315
FollowingFeedDoradoCooldownSix,1684348369
FollowingFeedDoradoCooldownSix,1684348370
FollowingFeedDoradoCooldownSix,1684505870
FollowingFeedDoradoCooldownSix,1684505899
FollowingFeedDoradoCooldownSix,1684505900
FollowingFeedDoradoCooldownSix,1684505957
FollowingFeedDoradoCooldownSix,1684505958
FollowingFeedDoradoCooldownSix,1684609082
FollowingFeedDoradoCooldownSix,1684609083
FollowingFeedDoradoCooldownSix,1684638302
FollowingFeedDoradoCooldownSix,1684638303
FollowingFeedDoradoCooldownSix,1684693636
FollowingFeedDoradoCooldownSix,1684693637
FollowingFeedDoradoCooldownSix,1684700549
FollowingFeedDoradoCooldownSix,1684700550
FollowingFeedDoradoCooldownSix,1684761084
FollowingFeedDoradoCooldownSix,1684761085
FollowingFeedDoradoCooldownSix,1684829170
FollowingFeedDoradoCooldownSix,1684829171
FollowingFeedDoradoCooldownSix,1684914719
FollowingFeedDoradoCooldownSix,1684914720
FollowingFeedDoradoCooldownSix,1685021792
FollowingFeedDoradoCooldownSix,1685021793
FollowingFeedDoradoCooldownSix,1685097300
FollowingFeedDoradoCooldownSix,1685097301
FollowingFeedDoradoCooldownSix,1685151851
FollowingFeedDoradoCooldownSix,1685151852
FollowingFeedDoradoCooldownSix,1685275466
FollowingFeedDoradoCooldownSix,1685275467
FollowingFeedDoradoCooldownSix,1685293295
FollowingFeedDoradoCooldownSix,1685293296
FollowingFeedDoradoCooldownSix,1685329919
FollowingFeedDoradoCooldownSix,1685329920
FollowingFeedDoradoCooldownSix,1685398922
FollowingFeedDoradoCooldownSix,1685412136
FollowingFeedDoradoCooldownSix,1685412137
FollowingFeedDoradoCooldownSix,1685531089
FollowingFeedDoradoCooldownSix,1685531090
FollowingFeedDoradoCooldownSix,1685569743
FollowingFeedDoradoCooldownSix,1685569744
FollowingFeedDoradoCooldownSix,1685701628
FollowingFeedDoradoCooldownSix,1685701629
FollowingFeedDoradoCooldownSix,1685702274
FollowingFeedDoradoCooldownSix,1685702275
FollowingFeedDoradoCooldownSix,1685741047
FollowingFeedDoradoCooldownSix,1685741048
FollowingFeedDoradoCooldownSix,1685788913
FollowingFeedDoradoCooldownSix,1685788914
FollowingFeedDoradoCooldownSix,1685899023
FollowingFeedDoradoCooldownSix,1685899024
FollowingFeedDoradoCooldownSix,1685929840
FollowingFeedDoradoCooldownSix,1685929841
FollowingFeedDoradoCooldownSix,1685936130
FollowingFeedDoradoCooldownSix,1685963508
FollowingFeedDoradoCooldownSix,1686157074
FollowingFeedDoradoCooldownSix,1686157076
FollowingFeedDoradoCooldownSix,1686195063
FollowingFeedDoradoCooldownSix,1686195064
FollowingFeedDoradoCooldownSix,1686222185
FollowingFeedDoradoCooldownSix,1686222186
FollowingFeedDoradoCooldownSix,1686317082
FollowingFeedDoradoCooldownSix,1686317083
FollowingFeedDoradoCooldownSix,1686328083
FollowingFeedDoradoCooldownSix,1686328086
FollowingFeedDoradoCooldownSix,1686328088
FollowingFeedDoradoCooldownSix,1686335083
FollowingFeedDoradoCooldownSix,1686503315
FollowingFeedDoradoCooldownSix,1686503316
FollowingFeedDoradoCooldownSix,1686528129
FollowingFeedDoradoCooldownSix,1686528130
FollowingFeedDoradoCooldownSix,1686573934
FollowingFeedDoradoCooldownSix,1686681163
FollowingFeedDoradoCooldownSix,1686681164
FollowingFeedDoradoCooldownSix,1686826733
FollowingFeedDoradoCooldownSix,1686826734
FollowingFeedDoradoCooldownSix,1686879032
FollowingFeedDoradoCooldownSix,1686879034
FollowingFeedDoradoCooldownSix,1686881168
FollowingFeedDoradoCooldownSix,1686881169
FollowingFeedDoradoCooldownSix,1687014557
FollowingFeedDoradoCooldownSix,1687014558
FollowingFeedDoradoCooldownSix,1687043711
FollowingFeedDoradoCooldownSix,1687172788
FollowingFeedDoradoCooldownSix,1687258585
FollowingFeedDoradoCooldownSix,1687314780
FollowingFeedDoradoCooldownSix,1687314781
FollowingFeedDoradoCooldownSix,1687378075
FollowingFeedDoradoCooldownSix,1687378076
FollowingFeedDoradoCooldownSix,1687431169
FollowingFeedDoradoCooldownSix,1687454585
FollowingFeedDoradoCooldownSix,1687489323
FollowingFeedDoradoCooldownSix,1687489324
FollowingFeedDoradoCooldownSix,1687489328
FollowingFeedDoradoCooldownSix,1687489329
FollowingFeedDoradoCooldownSix,1687526916
FollowingFeedDoradoCooldownSix,1687630157
FollowingFeedDoradoCooldownSix,1687630158
FollowingFeedDoradoCooldownSix,1687631356
FollowingFeedDoradoCooldownSix,1687631357
FollowingFeedDoradoCooldownSix,1687784736
FollowingFeedDoradoCooldownSix,1687784737
FollowingFeedDoradoCooldownSix,1687862754
FollowingFeedDoradoCooldownSix,1687862755
FollowingFeedDoradoCooldownSix,1687863240
FollowingFeedDoradoCooldownSix,1688037101
FollowingFeedDoradoCooldownSix,1688037102
FollowingFeedDoradoCooldownSix,1688124167
FollowingFeedDoradoCooldownSix,1688124168
FollowingFeedDoradoCooldownSix,1688129265
FollowingFeedDoradoCooldownSix,1688129266
FollowingFeedDoradoCooldownSix,1688230416
FollowingFeedDoradoCooldownSix,1688230417
FollowingFeedDoradoCooldownSix,1688244154
FollowingFeedDoradoCooldownSix,1688244155
FollowingFeedDoradoCooldownSix,1688303746
FollowingFeedDoradoCooldownSix,1688303747
FollowingFeedDoradoCooldownSix,1688476595
FollowingFeedDoradoCooldownSix,1688478397
FollowingFeedDoradoCooldownSix,1688478398
FollowingFeedDoradoCooldownSix,1688520729
FollowingFeedDoradoCooldownSix,1688520731
FollowingFeedDoradoCooldownSix,1688647137
FollowingFeedDoradoCooldownSix,1688647138
FollowingFeedDoradoCooldownSix,1688825871
FollowingFeedDoradoCooldownSix,1688825872
FollowingFeedDoradoCooldownSix,1688827224
FollowingFeedDoradoCooldownSix,1688827225
FollowingFeedDoradoCooldownSix,1688848511
FollowingFeedDoradoCooldownSix,1688928429
FollowingFeedDoradoCooldownSix,1688986390
FollowingFeedDoradoCooldownSix,1688986391
FollowingFeedDoradoCooldownSix,1689165249
FollowingFeedDoradoCooldownSix,1689165250
FollowingFeedDoradoCooldownSix,1689220245
FollowingFeedDoradoCooldownSix,1689285623
FollowingFeedDoradoCooldownSix,1689285624
FollowingFeedDoradoCooldownSix,1689342857
FollowingFeedDoradoCooldownSix,1689342858
FollowingFeedDoradoCooldownSix,1689465187
FollowingFeedDoradoCooldownSix,1689465188
FollowingFeedDoradoCooldownSix,1689472664
FollowingFeedDoradoCooldownSix,1689472665
FollowingFeedDoradoCooldownSix,1689515856
FollowingFeedDoradoCooldownSix,1689515857
FollowingFeedDoradoCooldownSix,1689599470
FollowingFeedDoradoCooldownSix,1689599471
FollowingFeedDoradoCooldownSix,1689601547
FollowingFeedDoradoCooldownSix,1689601548
FollowingFeedDoradoCooldownSix,1689608267
FollowingFeedDoradoCooldownSix,1689608268
FollowingFeedDoradoCooldownSix,1689692650
FollowingFeedDoradoCooldownSix,1689720908
FollowingFeedDoradoCooldownSix,1689731197
FollowingFeedDoradoCooldownSix,1689731198
FollowingFeedDoradoCooldownSix,1689771600
FollowingFeedDoradoCooldownSix,1689771601
FollowingFeedDoradoCooldownSix,1689820762
FollowingFeedDoradoCooldownSix,1689885415
FollowingFeedDoradoCooldownSix,1689885416
FollowingFeedDoradoCooldownSix,1689947692
FollowingFeedDoradoCooldownSix,1689947693
FollowingFeedDoradoCooldownSix,1690107307
FollowingFeedDoradoCooldownSix,1690107308
FollowingFeedDoradoCooldownSix,1690123973
FollowingFeedDoradoCooldownSix,1690123974
FollowingFeedDoradoCooldownSix,1690137835
FollowingFeedDoradoCooldownSix,1690137836
FollowingFeedDoradoCooldownSix,1690206380
FollowingFeedDoradoCooldownSix,1690206381
FollowingFeedDoradoCooldownSix,1690250592
FollowingFeedDoradoCooldownSix,1690250593
FollowingFeedDoradoCooldownSix,1690322635
FollowingFeedDoradoCooldownSix,1690322695
FollowingFeedDoradoCooldownSix,1690375770
FollowingFeedDoradoCooldownSix,1690375771
FollowingFeedDoradoCooldownSix,1690376298
FollowingFeedDoradoCooldownSix,1690376299
FollowingFeedDoradoCooldownSix,1690454042
FollowingFeedDoradoCooldownSix,1690454043
FollowingFeedDoradoCooldownSix,1690600765
FollowingFeedDoradoCooldownSix,1690600766
FollowingFeedDoradoCooldownSix,1690657530
